============================================================================================================
Arguments =
	approach: mas
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_mas_result10t
	save_models: False
	seed: 0
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	alpha: 0.5
	fi_num_samples: -1
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  31, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.297, TAw acc= 60.4% |
| Epoch  32, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.234, TAw acc= 64.0% |
| Epoch  33, time=  1.8s | Train: skip eval | Valid: time=  1.6s loss=1.187, TAw acc= 65.0% |
| Epoch  34, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.165, TAw acc= 63.8% |
| Epoch  35, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.365, TAw acc= 57.4% | lr=5.0e-02
| Epoch  36, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.334, TAw acc= 58.6% |
| Epoch  37, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.164, TAw acc= 66.0% | *
| Epoch  38, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.313, TAw acc= 59.0% |
| Epoch  39, time=  2.0s | Train: skip eval | Valid: time=  1.1s loss=1.348, TAw acc= 55.6% |
| Epoch  40, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.412, TAw acc= 58.6% |
| Epoch  41, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.288, TAw acc= 61.6% |
| Epoch  42, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=1.186, TAw acc= 64.4% | lr=5.0e-02
| Epoch  43, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.246, TAw acc= 61.4% |
| Epoch  44, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.389, TAw acc= 59.0% |
| Epoch  45, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.253, TAw acc= 61.4% |
| Epoch  46, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.216, TAw acc= 64.0% |
| Epoch  47, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.291, TAw acc= 59.8% | lr=5.0e-02
| Epoch  48, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.294, TAw acc= 61.8% |
| Epoch  49, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.182, TAw acc= 63.0% |
| Epoch  50, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.418, TAw acc= 55.8% |
| Epoch  51, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.335, TAw acc= 60.6% |
| Epoch  52, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.218, TAw acc= 62.8% | lr=5.0e-02
| Epoch  53, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.181, TAw acc= 62.6% |
| Epoch  54, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.279, TAw acc= 62.6% |
| Epoch  55, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.284, TAw acc= 60.8% |
| Epoch  56, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.332, TAw acc= 57.4% |
| Epoch  57, time=  2.0s | Train: skip eval | Valid: time=  0.5s loss=1.218, TAw acc= 65.2% | lr=5.0e-02
| Epoch  58, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.289, TAw acc= 60.4% |
| Epoch  59, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.359, TAw acc= 58.4% |
| Epoch  60, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.312, TAw acc= 63.4% |
| Epoch  61, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.268, TAw acc= 62.4% |
| Epoch  62, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.344, TAw acc= 61.8% | lr=5.0e-02
| Epoch  63, time=  2.1s | Train: skip eval | Valid: time=  0.8s loss=1.275, TAw acc= 59.2% |
| Epoch  64, time=  1.9s | Train: skip eval | Valid: time=  1.5s loss=1.221, TAw acc= 61.4% |
| Epoch  65, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.235, TAw acc= 63.4% |
| Epoch  66, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.298, TAw acc= 60.4% |
| Epoch  67, time=  2.0s | Train: skip eval | Valid: time=  0.9s loss=1.262, TAw acc= 62.8% | lr=5.0e-02
| Epoch  68, time=  1.9s | Train: skip eval | Valid: time=  1.5s loss=1.425, TAw acc= 57.0% |
| Epoch  69, time=  2.0s | Train: skip eval | Valid: time=  0.7s loss=1.448, TAw acc= 53.8% |
| Epoch  70, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.235, TAw acc= 63.0% |
| Epoch  71, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.258, TAw acc= 62.4% |
