============================================================================================================
Arguments =
	approach: path_integral
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 1
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_path_integral_result10t
	save_models: False
	seed: 12
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	damping: 0.1
	lamb: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../miniimagenet_path_integral_result10t/miniimagenet_path_integral already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  3.6s | Train: skip eval | Valid: time=  0.5s loss=5.048, TAw acc= 15.4% | *
| Epoch   2, time=  1.7s | Train: skip eval | Valid: time=  1.3s loss=2.096, TAw acc= 29.2% | *
| Epoch   3, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.975, TAw acc= 30.2% | *
| Epoch   4, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.914, TAw acc= 33.0% | *
| Epoch   5, time=  1.6s | Train: skip eval | Valid: time=  0.4s loss=2.340, TAw acc= 31.8% |
| Epoch   6, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.931, TAw acc= 34.0% |
| Epoch   7, time=  1.6s | Train: skip eval | Valid: time=  1.2s loss=2.022, TAw acc= 37.2% |
| Epoch   8, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.839, TAw acc= 41.0% | *
| Epoch   9, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.835, TAw acc= 38.0% | *
| Epoch  10, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=2.291, TAw acc= 39.4% |
| Epoch  11, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.766, TAw acc= 41.4% | *
| Epoch  12, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.674, TAw acc= 40.8% | *
| Epoch  13, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.731, TAw acc= 38.4% |
| Epoch  14, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.682, TAw acc= 42.0% |
