============================================================================================================
Arguments =
	approach: ewc
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 4
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_ewc_result5t
	save_models: False
	seed: 10
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	alpha: 0.5
	fi_num_samples: -1
	fi_sampling_type: max_pred
	lamb: 5000
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_ewc_result5t/mnist_ewc already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  4.7s | Train: skip eval | Valid: time=  0.4s loss=0.035, TAw acc= 99.2% | *
| Epoch   2, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.017, TAw acc= 99.3% | *
| Epoch   3, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.016, TAw acc= 99.4% | *
| Epoch   4, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.4% |
| Epoch   5, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc= 99.5% |
| Epoch   6, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.5% | *
| Epoch   7, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.008, TAw acc= 99.7% | *
| Epoch   8, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.008, TAw acc= 99.7% |
| Epoch   9, time=  2.5s | Train: skip eval | Valid: time=  1.1s loss=0.010, TAw acc= 99.7% |
| Epoch  10, time=  2.5s | Train: skip eval | Valid: time=  0.4s loss=0.035, TAw acc= 99.3% |
| Epoch  11, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.008, TAw acc= 99.7% |
| Epoch  12, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% | *
| Epoch  13, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.009, TAw acc= 99.6% |
| Epoch  14, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.017, TAw acc= 99.3% |
| Epoch  15, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.7% |
| Epoch  16, time=  2.6s | Train: skip eval | Valid: time=  1.6s loss=0.014, TAw acc= 99.6% |
| Epoch  17, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.012, TAw acc= 99.6% | lr=5.0e-02
| Epoch  18, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.009, TAw acc= 99.7% |
| Epoch  19, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% |
| Epoch  20, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.012, TAw acc= 99.7% |
| Epoch  21, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.7% |
| Epoch  22, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% | lr=5.0e-02
| Epoch  23, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.5% |
| Epoch  24, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.022, TAw acc= 99.3% |
| Epoch  25, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.024, TAw acc= 99.4% |
| Epoch  26, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.021, TAw acc= 99.4% |
| Epoch  27, time=  3.6s | Train: skip eval | Valid: time=  0.4s loss=0.021, TAw acc= 99.6% | lr=5.0e-02
| Epoch  28, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.013, TAw acc= 99.5% |
| Epoch  29, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.4% |
| Epoch  30, time=  2.3s | Train: skip eval | Valid: time=  1.2s loss=0.014, TAw acc= 99.7% |
| Epoch  31, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.6% |
| Epoch  32, time=  2.4s | Train: skip eval | Valid: time=  0.4s loss=0.014, TAw acc= 99.6% | lr=5.0e-02
| Epoch  33, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.008, TAw acc= 99.7% |
| Epoch  34, time=  2.2s | Train: skip eval | Valid: time=  0.9s loss=0.007, TAw acc= 99.8% |
| Epoch  35, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.008, TAw acc= 99.8% |
| Epoch  36, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.018, TAw acc= 99.6% |
| Epoch  37, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.015, TAw acc= 99.6% | lr=5.0e-02
| Epoch  38, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.008, TAw acc= 99.7% |
| Epoch  39, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.6% |
| Epoch  40, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.7% |
| Epoch  41, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.014, TAw acc= 99.6% |
| Epoch  42, time=  2.5s | Train: skip eval | Valid: time=  0.4s loss=0.012, TAw acc= 99.7% | lr=5.0e-02
