============================================================================================================
Arguments =
	approach: path_integral
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_path_integral_result5t
	save_models: False
	seed: 1
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	damping: 0.1
	lamb: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_path_integral_result5t/mnist_path_integral already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  27, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  28, time=  3.5s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  29, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.008, TAw acc= 99.8% |
| Epoch  30, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.8% |
| Epoch  31, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.9% |
| Epoch  32, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  33, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% | *
| Epoch  34, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  35, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.9% |
| Epoch  36, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.9% |
| Epoch  37, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  38, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.9% | lr=5.0e-02
| Epoch  39, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  40, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  41, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | *
| Epoch  42, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  43, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  44, time=  3.3s | Train: skip eval | Valid: time=  1.5s loss=0.003, TAw acc= 99.9% |
| Epoch  45, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  46, time=  3.6s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  47, time=  3.6s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  48, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  49, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  50, time=  3.6s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  51, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  52, time=  3.3s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% |
| Epoch  53, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  54, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  55, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% |
| Epoch  56, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  57, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  58, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  59, time=  3.3s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  60, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  61, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  62, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% | *
| Epoch  63, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  64, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  65, time=  4.3s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% | *
| Epoch  66, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  67, time=  3.4s | Train: skip eval | Valid: time=  1.2s loss=0.002, TAw acc= 99.9% |
