============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_bic_result5t
	save_models: False
	seed: 0
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 500
============================================================================================================
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 100 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  30, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=0.013, TAw acc= 99.7% | lr=5.0e-02
| Epoch  31, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.011, TAw acc= 99.7% |
| Epoch  32, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.012, TAw acc= 99.7% |
| Epoch  33, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.009, TAw acc= 99.8% |
| Epoch  34, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.009, TAw acc= 99.8% |
| Epoch  35, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.009, TAw acc= 99.7% | lr=5.0e-02
| Epoch  36, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.014, TAw acc= 99.7% |
| Epoch  37, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.009, TAw acc= 99.6% |
| Epoch  38, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.007, TAw acc= 99.9% |
| Epoch  39, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.015, TAw acc= 99.6% |
| Epoch  40, time=  2.3s | Train: skip eval | Valid: time=  1.7s loss=0.010, TAw acc= 99.7% | lr=5.0e-02
| Epoch  41, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.015, TAw acc= 99.7% |
| Epoch  42, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.011, TAw acc= 99.7% |
| Epoch  43, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.014, TAw acc= 99.7% |
| Epoch  44, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.014, TAw acc= 99.7% |
| Epoch  45, time=  2.4s | Train: skip eval | Valid: time=  0.4s loss=0.014, TAw acc= 99.6% | lr=5.0e-02
| Epoch  46, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.007, TAw acc= 99.8% |
| Epoch  47, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc= 99.6% |
| Epoch  48, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.7% |
| Epoch  49, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.8% | *
| Epoch  50, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=0.007, TAw acc= 99.8% |
| Epoch  51, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.7% |
