============================================================================================================
Arguments =
	approach: ewc
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_ewc_result5t
	save_models: False
	seed: 7
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	alpha: 0.5
	fi_num_samples: -1
	fi_sampling_type: max_pred
	lamb: 5000
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_ewc_result5t/mnist_ewc already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  62, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.004, TAw acc= 99.8% |
| Epoch  63, time=  4.1s | Train: skip eval | Valid: time=  0.8s loss=0.004, TAw acc= 99.8% |
| Epoch  64, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% | lr=5.0e-02
| Epoch  65, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.8% |
| Epoch  66, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  67, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  68, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  69, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% | lr=5.0e-02
| Epoch  70, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  71, time=  4.1s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch  72, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.7% |
| Epoch  73, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  74, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% | lr=5.0e-02
| Epoch  75, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  76, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.004, TAw acc= 99.8% |
| Epoch  77, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch  78, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  79, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  80, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.052, TAw acc= 99.0% |
| Epoch  81, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.009, TAw acc= 99.7% |
| Epoch  82, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.9% |
| Epoch  83, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.9% |
| Epoch  84, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.9% | lr=5.0e-02
| Epoch  85, time=  3.9s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  86, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch  87, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  88, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  89, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.004, TAw acc= 99.8% | lr=5.0e-02
| Epoch  90, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.8% |
| Epoch  91, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch  92, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch  93, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  94, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  95, time=  3.6s | Train: skip eval | Valid: time=  1.6s loss=0.003, TAw acc= 99.8% |
| Epoch  96, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch  97, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch  98, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch  99, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch 100, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.389 | TAw acc= 70.8%, forg= 29.1%| TAg acc=  2.3%, forg= 97.6% <<<
>>> Test on task  1 : loss=0.001 | TAw acc=100.0%, forg=  0.0%| TAg acc= 86.3%, forg=  0.0% <<<
Save at ../mnist_ewc_result5t/mnist_ewc
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.039, TAw acc= 99.6% | *
| Epoch   2, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.026, TAw acc= 99.5% | *
| Epoch   3, time=  3.9s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.8% | *
| Epoch   4, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.8% |
| Epoch   5, time=  3.6s | Train: skip eval | Valid: time=  0.9s loss=0.020, TAw acc= 99.8% |
| Epoch   6, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.015, TAw acc= 99.8% | *
| Epoch   7, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc= 99.7% |
| Epoch   8, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.021, TAw acc= 99.8% |
| Epoch   9, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.017, TAw acc= 99.8% |
| Epoch  10, time=  3.6s | Train: skip eval | Valid: time=  1.6s loss=0.019, TAw acc= 99.8% |
| Epoch  11, time=  3.6s | Train: skip eval | Valid: time=  0.9s loss=0.036, TAw acc= 99.3% | lr=5.0e-02
| Epoch  12, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.017, TAw acc= 99.8% |
| Epoch  13, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=0.025, TAw acc= 99.8% |
| Epoch  14, time=  3.5s | Train: skip eval | Valid: time=  0.9s loss=0.020, TAw acc= 99.8% |
| Epoch  15, time=  3.6s | Train: skip eval | Valid: time=  1.1s loss=0.021, TAw acc= 99.7% |
| Epoch  16, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.024, TAw acc= 99.6% | lr=5.0e-02
| Epoch  17, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.8% |
| Epoch  18, time=  3.7s | Train: skip eval | Valid: time=  0.8s loss=0.020, TAw acc= 99.8% |
| Epoch  19, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.016, TAw acc= 99.9% |
| Epoch  20, time=  3.8s | Train: skip eval | Valid: time=  1.7s loss=0.020, TAw acc= 99.8% |
