============================================================================================================
Arguments =
	approach: icarl
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_icarl_result5t
	save_models: False
	seed: 7
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 500
============================================================================================================
WARNING: ../mnist_icarl_result5t/mnist_icarl already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  31, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.430, TAw acc= 99.9% |
| Epoch  32, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.450, TAw acc= 99.8% |
| Epoch  33, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.420, TAw acc=100.0% | *
| Epoch  34, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.421, TAw acc= 99.8% |
| Epoch  35, time=  4.3s | Train: skip eval | Valid: time=  0.9s loss=0.425, TAw acc= 99.8% |
| Epoch  36, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.431, TAw acc= 99.7% |
| Epoch  37, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.418, TAw acc=100.0% | *
| Epoch  38, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.445, TAw acc=100.0% |
| Epoch  39, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.422, TAw acc= 99.9% |
| Epoch  40, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.425, TAw acc= 99.9% |
| Epoch  41, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc=100.0% | *
| Epoch  42, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.420, TAw acc= 99.9% |
| Epoch  43, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=0.421, TAw acc=100.0% |
| Epoch  44, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.417, TAw acc=100.0% | *
| Epoch  45, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.471, TAw acc= 99.9% |
| Epoch  46, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc=100.0% |
| Epoch  47, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc= 99.9% |
| Epoch  48, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.428, TAw acc= 99.8% |
| Epoch  49, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.422, TAw acc=100.0% | lr=5.0e-02
| Epoch  50, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.427, TAw acc=100.0% |
| Epoch  51, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc=100.0% |
| Epoch  52, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.426, TAw acc=100.0% |
| Epoch  53, time=  3.3s | Train: skip eval | Valid: time=  0.9s loss=0.417, TAw acc=100.0% |
| Epoch  54, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.433, TAw acc= 99.9% | lr=5.0e-02
| Epoch  55, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.422, TAw acc= 99.9% |
| Epoch  56, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc=100.0% |
| Epoch  57, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc= 99.9% |
| Epoch  58, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.423, TAw acc=100.0% |
| Epoch  59, time=  3.3s | Train: skip eval | Valid: time=  1.4s loss=0.417, TAw acc= 99.9% | lr=5.0e-02
| Epoch  60, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.416, TAw acc=100.0% | *
| Epoch  61, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.421, TAw acc= 99.9% |
| Epoch  62, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.424, TAw acc=100.0% |
| Epoch  63, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=0.416, TAw acc=100.0% | *
| Epoch  64, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc=100.0% |
| Epoch  65, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc=100.0% |
| Epoch  66, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.427, TAw acc= 99.9% |
| Epoch  67, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc= 99.9% |
| Epoch  68, time=  4.1s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc= 99.9% | lr=5.0e-02
| Epoch  69, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc=100.0% |
| Epoch  70, time=  3.3s | Train: skip eval | Valid: time=  1.6s loss=0.424, TAw acc= 99.9% |
| Epoch  71, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=0.453, TAw acc= 99.9% |
| Epoch  72, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=0.420, TAw acc=100.0% |
| Epoch  73, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.418, TAw acc=100.0% | lr=5.0e-02
| Epoch  74, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.418, TAw acc=100.0% |
| Epoch  75, time=  3.4s | Train: skip eval | Valid: time=  0.9s loss=0.421, TAw acc=100.0% |
| Epoch  76, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.416, TAw acc=100.0% |
| Epoch  77, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.419, TAw acc= 99.9% |
| Epoch  78, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.428, TAw acc= 99.8% | lr=5.0e-02
| Epoch  79, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.434, TAw acc=100.0% |
| Epoch  80, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.422, TAw acc= 99.7% |
| Epoch  81, time=  3.4s | Train: skip eval | Valid: time=  1.0s loss=0.417, TAw acc=100.0% |
| Epoch  82, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.423, TAw acc=100.0% |
| Epoch  83, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.452, TAw acc=100.0% | lr=5.0e-02
| Epoch  84, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.446, TAw acc=100.0% |
| Epoch  85, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.422, TAw acc=100.0% |
| Epoch  86, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.429, TAw acc=100.0% |
| Epoch  87, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.418, TAw acc= 99.9% |
| Epoch  88, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.471, TAw acc= 99.8% | lr=5.0e-02
| Epoch  89, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.420, TAw acc=100.0% |
| Epoch  90, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.422, TAw acc= 99.9% |
| Epoch  91, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.417, TAw acc=100.0% |
